Source,Target,Type,Id
GDSC001790047500.txt,Jiold,location,1
GDSC001790047500.txt,Cincinnati,location,2
GDSC001790047500.txt,Panola,location,1
GDSC001790047500.txt,Washington,location,7
GDSC001790047500.txt,Bnrtland,location,1
GDSC001790047500.txt,Sunn,location,1
GDSC001790047500.txt,Gary,location,1
GDSC001790047500.txt,Broadway,location,2
GDSC001790047500.txt,Seattle,location,5
GDSC001790047500.txt,Negroesi,location,1
GDSC001790047500.txt,Jackson,location,4
GDSC001790047500.txt,Claybum,location,1
GDSC001790047500.txt,Sun,location,1
GDSC001790047500.txt,Mt. Zion Baptist Church,location,1
GDSC001790047500.txt,Jefferson,location,1
GDSC001790047500.txt,Milt.,location,1
GDSC001790047500.txt,Wisconsin,location,2
GDSC001790047500.txt,Parchmann Penitentiary,location,1
GDSC001790047500.txt,New York City,location,18
GDSC001790047500.txt,United States of America,location,15
GDSC001790047500.txt,King County,location,1
GDSC001790047500.txt,Massachusetts,location,1
GDSC001790047500.txt,Los Angeles,location,2
GDSC001790047500.txt,Tunica,location,1
GDSC001790047500.txt,Sunflower County,location,30
GDSC001790047500.txt,Bangla Desh,location,1
GDSC001790047500.txt,Wellford,location,1
GDSC001790047500.txt,Vietnam,location,2
GDSC001790047500.txt,Madison,location,4
GDSC001790047500.txt,Cambridge,location,2
GDSC001790047500.txt,Indianola,location,5
GDSC001790047500.txt,Itiftflixyer county,location,1
GDSC001790047500.txt,Quivah,location,1
GDSC001790047500.txt,Mozambique,location,1
GDSC001790047500.txt,Statler Hilton Hotel,location,1
GDSC001790047500.txt,MISSISSIPPI TOWN,location,1
GDSC001790047500.txt,Ku Kluxi,location,1
GDSC001790047500.txt,Lincoln Hts,location,1
GDSC001790047500.txt,MISSISSIPI,location,1
GDSC001790047500.txt,Columbus,location,2
GDSC001790047500.txt,North,location,1
GDSC001790047500.txt,Greeville,location,1
GDSC001790047500.txt,Selma,location,1
GDSC001790047500.txt,Fayette,location,2
GDSC001790047500.txt,Winona,location,2
GDSC001790047500.txt,Mtartarippi,location,1
GDSC001790047500.txt,Delta,location,1
GDSC001790047500.txt,Goergia,location,1
GDSC001790047500.txt,Eastland,location,5
GDSC001790047500.txt,Coahoma County,location,1
GDSC001790047500.txt,Pennsylvania,location,1
GDSC001790047500.txt,Leflore County,location,1
GDSC001790047500.txt,Detroit,location,2
GDSC001790047500.txt,Rutland,location,1
GDSC001790047500.txt,Copiah,location,1
GDSC001790047500.txt,County,location,1
GDSC001790047500.txt,Pigott Auditorium,location,1
GDSC001790047500.txt,Panola County,location,1
GDSC001790047500.txt,Chicago,location,1
GDSC001790047500.txt,City Hall,location,1
GDSC001790047500.txt,Statler Hotel,location,1
GDSC001790047500.txt,Manhattan,location,3
GDSC001790047500.txt,Mias.,location,1
GDSC001790047500.txt,Bimini,location,1
GDSC001790047500.txt,Quitman,location,1
GDSC001790047500.txt,Sunflower City,location,8
GDSC001790047500.txt,Tallahatchie,location,1
GDSC001790047500.txt,9unflower County,location,1
GDSC001790047500.txt,Alabama,location,4
GDSC001790047500.txt,South,location,6
GDSC001790047500.txt,Trenton,location,1
GDSC001790047500.txt,Rueville,location,1
GDSC001790047500.txt,Pittsburgh,location,1
GDSC001790047500.txt,Dallas County,location,1
GDSC001790047500.txt,Maysville,location,1
GDSC001790047500.txt,Moorhead,location,6
GDSC001790047500.txt,Lister Hill,location,1
GDSC001790047500.txt,Ruleville,location,2
GDSC001790060000.txt,Aix,location,1
GDSC001790060000.txt,Sunflower County,location,2
GDSC001790060000.txt,Michigan,location,1
GDSC001790060000.txt,Washington,location,1
GDSC001790060000.txt,Virginia,location,1
GDSC001790060000.txt,Aeview,location,1
GDSC001790060000.txt,iloweA County,location,1
GDSC001790060000.txt,Cential Oiiice,location,1
GDSC001790060000.txt,SuniloweA County,location,1
GDSC001790056500.txt,Mississippi,location,24
GDSC001790056500.txt,Gulfport,location,1
GDSC001790056500.txt,Washington,location,3
GDSC001790056500.txt,Greenville,location,2
GDSC001790056500.txt,Canton,location,1
GDSC001790056500.txt,Columbus,location,1
GDSC001790056500.txt,Doddsvilie,location,1
GDSC001790056500.txt,Inverness,location,1
GDSC001790056500.txt,United States of America,location,1
GDSC001790056500.txt,Rulevilie,location,1
GDSC001790056500.txt,Washington County,location,1
GDSC001790056500.txt,Quitman,location,1
GDSC001790056500.txt,Greenwood,location,1
GDSC001790056500.txt,Sunflower County,location,1
GDSC001790056500.txt,Leflore,location,1
GDSC001790056500.txt,Coahoma,location,1
GDSC001790056500.txt,Rome,location,3
GDSC001790056500.txt,Leland,location,1
GDSC001790056500.txt,Washington D.C.,location,2
GDSC001790056500.txt,Clarksdale,location,1
GDSC001790056500.txt,Doddsville,location,1
GDSC001790056500.txt,Indianola,location,1
GDSC001790056500.txt,Neshoba,location,1
GDSC001790044700.txt,Mississippi,location,16
