Source,Target,Type,Id
GDSC001790059700.txt,Sylvester Roberts,person,2
GDSC001790059700.txt,Samuel,person,2
GDSC001790059700.txt,Allen Barnes,person,3
GDSC001790059700.txt,Earnell Bessie Hawkins,person,2
GDSC001790059700.txt,Johnnie,person,1
GDSC001790059700.txt,Oscar Giles,person,1
GDSC001790059700.txt,Hamilton,person,5
GDSC001790059700.txt,Frederick Labella,person,1
GDSC001790059700.txt,Marian Wright,person,1
GDSC001790059700.txt,Theodore Keenan,person,3
GDSC001790059700.txt,Mo,person,2
GDSC001790059700.txt,Simon Hood,person,2
GDSC001790059700.txt,Earl,person,1
GDSC001790059700.txt,Taylor,person,1
GDSC001790059700.txt,SCPI Cora Fleming,person,2
GDSC001790059700.txt,Lonnie Byrd,person,2
GDSC001790059700.txt,M. HAMILTON,person,1
GDSC001790059700.txt,Nora Lee Ray,person,1
GDSC001790059700.txt,Baker,person,1
GDSC001790059700.txt,Maxine Thurston,person,1
GDSC001790059700.txt,HENRY PARIB,person,1
GDSC001790059700.txt,James Earnest,person,1
GDSC001790059700.txt,John Ross,person,1
GDSC001790059700.txt,Green,person,1
GDSC001790059700.txt,Julian Allen,person,9
GDSC001790059700.txt,Bill Zierden,person,1
GDSC001790059700.txt,Phyliss,person,1
GDSC001790059700.txt,Jimmie Langdon,person,1
GDSC001790059700.txt,Peter Sherman,person,3
GDSC001790059700.txt,Margaret Price,person,1
GDSC001790059700.txt,A. H. Howard,person,3
GDSC001790059700.txt,Joseph Lewis Harri,person,1
GDSC001790059700.txt,Jimmy,person,1
GDSC001790059700.txt,George Harper,person,1
GDSC001790059700.txt,Cora E. Flemming,person,1
GDSC001790059700.txt,Charles Hawkins,person,1
GDSC001790059700.txt,Elizabeth S. Jones,person,1
GDSC001790059700.txt,Willie M. Featherstone,person,2
GDSC001790059700.txt,Thomas R,person,1
GDSC001790059700.txt,James Dillon,person,1
GDSC001790059700.txt,WALTER OREGQRY,person,1
GDSC001790059700.txt,James Smith,person,1
GDSC001790059700.txt,Ruth From,person,1
GDSC001790059700.txt,J. Allen,person,1
GDSC001790059700.txt,Robert,person,1
GDSC001790059700.txt,Frank Madden,person,1
GDSC001790059700.txt,Louie Walker,person,4
GDSC001790059700.txt,Aurilla C. Anderson,person,1
GDSC001790059700.txt,Floyd Kephart,person,1
GDSC001790059700.txt,Wynn,person,2
GDSC001790059700.txt,Willie,person,1
GDSC001790059700.txt,Grissom,person,1
GDSC001790059700.txt,Freddie Oliver,person,1
GDSC001790059700.txt,Earl C. Williams,person,1
GDSC001790059700.txt,Zierden,person,1
GDSC001790059700.txt,Harold,person,1
GDSC001790059700.txt,J Publlthad,person,1
GDSC001790059700.txt,H. R. Smith,person,1
GDSC001790059700.txt,David Matthews,person,3
GDSC001790059700.txt,MADDEN J. A. MARQUIS,person,1
GDSC001790059700.txt,Donald Clifton,person,2
GDSC001790059700.txt,WALTER RDSE H. R. SMITH,person,1
GDSC001790059700.txt,Frink Crosthwait,person,1
GDSC001790059700.txt,Bobby Jean Deal,person,1
